epoch,train_loss,val_loss,val_macro_f1,val_accuracy
1,1.0311,0.6113,0.7311,0.7971
2,0.5267,0.6194,0.7723,0.8365
3,0.352,0.7149,0.7672,0.8396
4,0.2402,0.7748,0.7639,0.8412
